
Title,Company,Location,Apply
b'Remote BI Data Analyst',b'Affinity',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/remote-bi-data-analyst-at-affinity-3636860711?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=belt0QbQeJ4x%2BT2j4yqTzg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Data Analyst (MDM)',b'BeachHead',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-mdm-at-beachhead-3647189350?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=DjXrOVn%2F3RgEaevYmBTXsw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'International Data Analysis & Visualization Specialist',b'Conestoga College',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/international-data-analysis-visualization-specialist-at-conestoga-college-3645170011?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=GuWuhxwwWyOQyTpLc2MCNA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133083?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=J9u4BJyhDNw0XXTHwJbtSA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133084?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=jMU2r98jZUThbIC7zCQ4Lg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst, IVR'","b""President's Choice Financial""","b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-ivr-at-president-s-choice-financial-3642143174?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=7oyjEtT%2FX92BaWmgLrp4hg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer',b'VySystems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-at-vysystems-3647560334?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=08zTvYlQtSj8eDknp%2BD17A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business System Analyst',b'Themesoft Inc.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/business-system-analyst-at-themesoft-inc-3647426180?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=VOrWYSIKxAWlF9LIenyWDA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Analyste - Donn\xc3\xa9es et Analytique',b'Air Canada',"b'Dorval, Quebec, Canada'",b'https://ca.linkedin.com/jobs/view/analyste-donn%C3%A9es-et-analytique-at-air-canada-3647448713?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=ZwKfTZ8Qb08Jnby285tWtA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Data Analyst (Theatres)',b'IMAX',"b'Mississauga, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-theatres-at-imax-3622942851?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=oxQpQCv4R08gzIBJbZR8rw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst - Adv. Excel (Macros), VBA, MDM'",b'Procom',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-adv-excel-macros-vba-mdm-at-procom-3647440026?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=SkOAR7mXsTENlol9UqhKbQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst (Hybrid)',"b'Global Technical Talent, an Inc. 5000 Company'","b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-hybrid-at-global-technical-talent-an-inc-5000-company-3647441135?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=wFtrTRh3a6dmJJRvTd8KzA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst (Hybrid)',"b'Global Technical Talent, an Inc. 5000 Company'","b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-hybrid-at-global-technical-talent-an-inc-5000-company-3647435705?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=r%2B%2BD9%2F1TNgh0SWqdiHFj0Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
